"market_block","indicator_name","exact_definition","preferred_unit","original_unit","geography","frequency","preferred_frequency_for_research","source_name","source_url","source_type","free_or_paid","historical_start_date","expected_publication_lag","raw_or_derived","derivation_formula","source_series_code/table/API","availability_status","collection_method","notes_on_methodology","known_breaks","last_checked_date"
"china_demand","China property construction indicators","Floor space started under construction and completed plus real-estate development investment from NBS","million square metres and CNY","10 thousand square metres and CNY 100 million","China","monthly YTD","monthly/YTD","National Bureau of Statistics of China","https://data.stats.gov.cn/english/easyquery.htm","official government EasyQuery/API-style web service","free","series-dependent commonly 1990s/2000s onward","about two to three weeks","raw YTD plus accounting derivation","monthly increment = current YTD - prior YTD with year reset","NBS real estate development dataset series codes recorded after catalogue query","A/B","query NBS/DBnomics with stable series registry; retain exact Chinese/English labels","Do not combine floor-space and value indicators into a score","February combined reporting and major methodology/coverage changes","2026-09-01"
"china_demand","China refined copper output","NBS output of refined/electrolytic copper current period and accumulated","10 thousand metric tonnes","10 thousand tonnes","China","monthly","monthly","National Bureau of Statistics of China via EasyQuery/DBnomics","https://data.stats.gov.cn/english/easyquery.htm","official government data","free","approximately 1995 onward in available mirrors","about two to three weeks","raw","","NBS refined copper output series; exact code retained in collector registry after catalogue resolution","A/B","resolve series via NBS catalogue then collect current and accumulated fields; snapshot raw JSON","Do not confuse refined output with smelter output or usage","February cumulative reporting and enterprise-coverage threshold changes","2026-09-01"
"china_demand","China vehicles EVs appliances and industrial products","NBS monthly output of motor vehicles NEVs air conditioners refrigerators integrated circuits and other selected copper-intensive products","units or 10 thousand units","source-specific","China","monthly","monthly","National Bureau of Statistics of China","https://www.stats.gov.cn/english/PressRelease/","official government HTML/EasyQuery data","free","series-dependent; many from 2000s and NEV later","about two to three weeks","raw","","NBS major industrial products series registry","A/B","use direct EasyQuery/DBnomics where possible and HTML release tables as validation","Keep each physical indicator separate; no fabricated copper-intensity conversion in first wave","Product definitions enterprise thresholds and February combined reporting","2026-09-01"
"global_demand","Global electric-vehicle sales stock and charging points","Historical EV sales stock sales share and charging infrastructure by country powertrain and scenario where historical","vehicles and percent","vehicles percent chargers","global/country","annual","annual","IEA Global EV Data Explorer","https://www.iea.org/data-and-statistics/data-tools/global-ev-data-explorer","international agency downloadable dataset","free to download under stated terms","2010 broadly; country/metric dependent","annual","raw","","Global EV Outlook data download","A","download full explorer dataset and retain model category parameter and projection flag","Use historical observations only in empirical first wave unless forecasts are separately labeled","IEA revisions and historical/forecast boundary changes","2026-09-01"
"global_demand","Renewable power capacity additions","Net generating capacity by country technology grid connection and year; additions are year-on-year differences","MW","MW","global/country","annual","annual","IRENASTAT PxWeb","https://pxweb.irena.org/pxweb/en/IRENASTAT/IRENASTAT__Power%20Capacity%20and%20Generation/Region_ELECCAP_2026_H1_v-PX%201.px/","official international agency PxWeb API","free","2000 broadly; technology/country dependent","annual plus interim updates","raw plus accounting derivation","capacity(t) - capacity(t-1)","IRENASTAT Power Capacity and Generation","A","POST PxWeb query and retain raw JSON/CSV plus query payload","A clean infrastructure-demand driver; additions are derived accounting changes not copper demand","Revisions technology reclassification and off-grid coverage","2026-09-01"
"global_demand","World motor-vehicle production","Vehicle production by country/region and vehicle type","vehicles","vehicles","global/country","annual","annual","OICA production statistics","https://www.oica.net/production-statistics-2/","industry association spreadsheets/PDF","free to view/download subject to OICA use terms","1999 broadly on current archive","annual","raw","","OICA world production workbook tables","A/B","download each annual workbook/PDF and normalize country/type while preserving source file","Useful broad vehicle-demand indicator alongside IEA EV series","OICA layouts country groupings corrections and commercial-use terms","2026-09-01"
"global_demand","US private data-center construction spending","Seasonally adjusted annual rate and unadjusted value of private data-center construction put in place","USD billion SAAR and USD million","USD million","United States","monthly","monthly","US Census Bureau Construction Spending","https://www.census.gov/construction/c30/c30index.html","official government downloadable time series/API","free","2014-01","about one month","raw","","Private office data center construction series in historical C30 files","A","download Census historical construction-spending CSV/XLS and retain SA/NSA flags","This is the clean historical data-center infrastructure indicator previously missed; it is not copper tonnage","Series was separately published from the May 2024 release with backcast to 2014; revisions are material","2026-09-01"
"global_demand","US computers and peripheral equipment investment","BEA private nonresidential fixed investment in computers and peripheral equipment","USD billion SAAR","USD billion SAAR","United States","quarterly","quarterly","US Bureau of Economic Analysis NIPA","https://apps.bea.gov/iTable/","official government API/download","free; BEA API key optional/required by endpoint","long NIPA history; exact table series to be fixed in registry","about one month with revisions","raw","","BEA NIPA fixed-assets/investment table line for computers and peripheral equipment","A","BEA API or iTable CSV; store vintage/revision metadata","Complements data-center structures with computing equipment; includes non-data-center activity","NIPA benchmark revisions classification changes and nominal-price effects","2026-09-01"
"global_demand","Data-centre electricity consumption","Historical and estimated electricity use by data centres where published by geography","TWh","TWh","global/selected regions","annual","annual","International Energy Agency","https://www.iea.org/data-and-statistics/charts/electricity-consumption-by-data-centres-2020-2035","international agency chart/report data","free when chart data download is enabled; otherwise report table extraction","2020","annual/irregular","raw estimate","","IEA Energy and AI chart/table series","B","download chart CSV when enabled or extract explicit accessible table values; label historical versus estimate/forecast","Use as a system-demand indicator only; no free measured series of global data-centre copper tonnage exists and first wave must not manufacture one","Coverage model revisions and forecast/historical boundary","2026-09-01"
"global_cycle","J.P. Morgan Global Manufacturing PMI","Headline seasonally adjusted Global Manufacturing PMI compiled by S&P Global with JPMorgan/ISM/IFPSM","diffusion index","index","global","monthly","monthly","S&P Global PMI","https://www.pmi.spglobal.com/Public/Release/PressReleases","private survey press releases and subscription download","press releases free; systematic data download paid","1998","first business day after reference month","raw","","JPMorgan Global Manufacturing PMI headline","B/C","for exact full history use subscription; for public research archive the official monthly press releases and parse headline with URL/vintage","The exact source is found; OECD BCI is a separate free alternative not the same index","Coverage weights and contributing national surveys change; licensing governs redistribution","2026-09-01"
"global_cycle","OECD composite business confidence","Harmonised manufacturing business-confidence indicator with long-term average 100","index 100=long-term average","index","OECD/G20 and selected economies","monthly","monthly","OECD Data Explorer SDMX API","https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.BCICP...AA.IX..H","official international SDMX API","free","country/aggregate dependent; long histories available","roughly one month","raw","","DSD_STES@DF_CLI measure BCICP","A","SDMX CSV/JSON query with vintage retrieval date","Defensible free global-cycle alternative; never relabel as PMI","OECD seasonal/harmonisation revisions and aggregate membership","2026-09-01"
"macro_financial","Broad US dollar index","Nominal broad US dollar index","index Jan 2006=100","index","United States versus broad currency basket","daily","daily/monthly","Federal Reserve via FRED","https://fred.stlouisfed.org/series/DTWEXBGS","official central-bank series/CSV API","free","2006-01-02","about one business day","raw","","DTWEXBGS","A","keyless FRED graph CSV or FRED API; use ALFRED where vintages matter","No need to use a commercial DXY series for broad-dollar control","Index methodology changed from older trade-weighted series; do not splice silently","2026-09-01"
"macro_financial","US policy rate and Treasury yields","Effective federal funds rate plus nominal and real 10-year Treasury yields","percent per year","percent per year","United States","daily","daily/monthly","Federal Reserve and Treasury via FRED","https://fred.stlouisfed.org/","official central-bank data service","free","EFFR 2000; DGS10 1962; DFII10 2003","same/next business day","raw","","EFFR; DGS10; DFII10","A","keyless graph CSV or FRED API; preserve missing-market days","Store nominal and real yields separately; do not collapse into a score","Series start dates and holiday calendars differ","2026-09-01"
"macro_financial","CNY per USD exchange rate","Chinese yuan per US dollar daily exchange rate","CNY/USD","CNY per USD","China/United States","daily","daily/monthly","Federal Reserve H.10 via FRED","https://fred.stlouisfed.org/series/DEXCHUS","official central-bank series","free","1981-01-02","daily","raw","","DEXCHUS","A","keyless graph CSV/FRED API","Needed for SHFE/LME comparison and trade-value conversion","Onshore convention and market reforms create structural breaks; rate is CNY per USD","2026-09-01"
"macro_financial","China M1 M2 and aggregate financing","Month-end M1/M2 balances and growth plus AFRE/TSF monthly flow and stock components","CNY trillion and percent","CNY 100 million and percent","China","monthly","monthly","People's Bank of China statistical releases","https://www.pbc.gov.cn/en/3688247/3688978/","official central-bank HTML/XLS/PDF releases","free","M1/M2 long history; TSF flow from 2002 with later backcasts/components","within 20 days after month end under PBOC rules","raw","","Financial Statistics Reports; Aggregate Financing Reports flow and stock","A/B","crawl monthly PBOC releases and files; store each publication vintage; use direct Chinese site if English lags","Keep flow and stock distinct and retain components","M1 definitions revised including 2018 MMF treatment and later revisions; TSF scope expanded multiple times","2026-09-01"
"macro_financial","Oil and gold benchmark controls","Daily crude-oil and gold benchmark observations selected from official/free series with licensing recorded","USD/barrel and USD/troy ounce","same","global","daily","daily/monthly","EIA/FRED and benchmark administrators","https://fred.stlouisfed.org/","official/mirrored time series","mixed free and attribution/licensing conditions","series-dependent","daily","raw","","DCOILWTICO or EIA crude series; chosen gold series fixed in registry after rights review","A/B","prefer EIA API for oil and a legally redistributable gold source; record source-specific terms","Do not use an unlabeled scraped commercial price","Benchmark licensing and fix-time changes","2026-09-01"
